lab beshe za queue



Да се имплементира класа CellularNetwork во кој се чуваат информации за една мобилна мрежа. Да се имплементираат следните методи:

public CellularNetwork(String name, String[] cellIds, int[] capacities) - конструктор со аргументи името на мрежата, низа од идентификатори на базните станици во мрежата и капацитет на повици за секоја од базните станици соодветно
public void makeCall(String cellId, String number) throws CellFullException - метод за креирање повик од даден број number во базна станица со дадено cellId. Притоа ако е исполнет капацитетот за дадената базна станица да се фрли исклучок од тип CellFullException со порака: CellFullException: {cell_id}. Креирањето нов повик треба да биде со комлексност O(logN) за N вкупно базни станици.
public void handover(String number, String fromCellId, String toCellId) throws CellFullException - метод за префрлање повик од даден број number од една базна станица fromCellId во друга toCellid. Во овој повик исто така може да се случи и фрли исклучок CellFulException ако е исполнет капацитетот на базната станица во која треба да се префрли повикот. Комплексноста на овој метод треба да биде O(logN) за N вкупно базни станици.
public void load() - за печатење за информациите за секоја базна станица, подредени лексикографски во однос на идентификаторот на базната станица. За секоја базна станица се печти (пример):
ID: {id}
***** 55.34%
за секој 10% исполнетост на капацитетот се печати еден знак *
public void findNumber(String number) - метод за лоцирање на базната станица во која е остварен повик од даден број number. Ако се случило префрлање на повикот во друга базна станица, се печатат сите базни станици во кој бил повикот пр. cell-0 -> cell-1 -> cell-2 ако повикот е креиран во базна станица cell-0, а потоа е префрлен во cell-1, па потоа во cell-2. Ако бројот не може да се пронајде, се печати порака Number '{number}' not found.


Telefonica
cell-0:41 cell-1:39 cell-2:93 cell-3:91 cell-4:62 cell-5:26 cell-6:15 cell-7:49 cell-8:99 cell-9:30 cell-10:60 cell-11:57 cell-12:96
330
cell-9 077155515
cell-6 070744086
cell-1 070609890
cell-11 076057080
cell-12 077497349
cell-0 071320920
cell-5 075227471
cell-9 078393089
cell-6 077967341
cell-0 077937849
cell-5 071420410
cell-10 071105206
cell-6 075405765
cell-1 070432921
cell-2 075361572
cell-5 075957288
cell-4 071350470
cell-10 070101894
cell-6 076756301
cell-11 070166441
cell-0 076784732
cell-4 078252256
cell-12 078050893
cell-2 075265495
cell-6 077599636
cell-2 077088456
cell-11 075132077
cell-9 071787188
cell-6 078349455
cell-9 076308844
cell-4 075788786
cell-6 077511714
cell-1 071206729
cell-1 077225406
cell-0 078995064
cell-8 076518717
cell-11 075475784
cell-11 078112403
cell-7 076885126
cell-8 077835995
cell-3 077863009
cell-12 078440649
cell-5 070311600
cell-11 071602445
cell-0 075897919
cell-11 078779310
cell-2 070085002
cell-0 077841966
cell-3 076981213
cell-0 078222571
cell-8 070892766
cell-5 070631652
cell-1 076234814
cell-1 075789230
cell-7 070608330
cell-6 075358940
cell-2 077834717
cell-1 071058947
cell-9 075892863
cell-9 077459874
cell-4 077823816
cell-12 071882640
cell-9 071587652
cell-6 070123300
cell-12 070405057
cell-11 076707709
cell-11 075703343
cell-11 071901151
cell-1 071715302
cell-3 070669243
cell-3 071804647
cell-12 071003966
cell-2 076700085
cell-1 070058434
cell-0 076125303
cell-0 078306973
cell-10 070582459
cell-6 077659477
cell-8 071089086
cell-9 077194356
cell-10 075301384
cell-0 071135213
cell-11 077139026
cell-3 077077456
cell-6 075948033
cell-7 076155912
cell-1 075432243
cell-4 077667155
cell-10 076977582
cell-6 070807120
cell-7 071251065
cell-12 077565705
cell-3 075229803
cell-11 070197268
cell-7 071491512
cell-5 075054032
cell-3 078270554
cell-11 078318865
cell-9 077744153
cell-4 070747703
cell-3 075694804
cell-9 075628531
cell-7 076070930
cell-0 071289586
cell-12 077617091
cell-9 070808663
cell-5 076551671
cell-5 070849521
cell-3 071745033
cell-9 076628770
cell-7 070449804
cell-4 070134300
cell-4 078403144
cell-1 075398340
cell-11 077389994
cell-0 077173029
cell-1 071103496
cell-4 077757368
cell-2 071803357
cell-12 071690066
cell-8 076020624
cell-12 071074644
cell-9 078888494
cell-0 078160840
cell-4 071815847
